"team","team_region","round","fte_prob","seed","crowd_prob","fte_ep","crowd_ep","delta","evoc"
"Oregon State","West","R32",0.26556296,"7",0.699,2.6556296,6.99,-4.3343704,-1.15104823316038
"Utah","Midwest","R4",0.05296992,"3",0.208,7.945488,31.2,-23.254512,-1.23178964027904
"Villanova","South","R16",0.76701243,"2",0.825,23.0103729,24.75,-1.7396271,-1.33431560926485
"Duke","West","title",0.01701523,"4",0.146,10.7195949,91.98,-81.2604051,-1.38266448266967
"Texas A&M","West","R16",0.5494919,"3",0.634,16.484757,19.02,-2.535243,-1.3930954930317
"Texas Tech","Midwest","R32",0.33060551,"8",0.772,3.3060551,7.72,-4.4139449,-1.4592745047764
"Arizona","South","R32",0.49548547,"6",0.803,4.9548547,8.03,-3.0751453,-1.52368981428879
"Xavier","East","R4",0.09868511,"2",0.207,14.8027665,31.05,-16.2472335,-1.60336002514318
"California","South","R16",0.43430911,"4",0.571,13.0292733,17.13,-4.1007267,-1.78098296343024
"Iowa State","Midwest","NCG",0.02510869,"4",0.28,7.7836939,86.8,-79.0163061,-1.98399593481001
"Miami","South","R8",0.13851633,"3",0.351,9.6961431,24.57,-14.8738569,-2.06027207073318
"Kansas","South","R16",0.86031066,"1",0.941,25.8093198,28.23,-2.4206802,-2.08253698051093
"Michigan State","Midwest","R16",0.77629788,"2",0.872,23.2889364,26.16,-2.8710636,-2.22880058602517
"Duke","West","NCG",0.04312695,"4",0.223,13.3693545,69.13,-55.7606455,-2.40478657044622
"Texas A&M","West","R8",0.24167014,"3",0.41,16.9169098,28.7,-11.7830902,-2.84762105826663
"Iowa State","Midwest","R4",0.06397299,"4",0.385,9.5959485,57.75,-48.1540515,-3.08055865506898
"North Carolina","East","R4",0.43516259,"1",0.488,65.2743885,73.2,-7.9256115,-3.44892962767379
"Miami","South","R16",0.35429225,"3",0.689,10.6287675,20.67,-10.0412325,-3.55753085519813
"Oregon","West","R16",0.72466814,"1",0.891,21.7400442,26.73,-4.9899558,-3.61606198826821
"North Carolina","East","R8",0.60726261,"1",0.694,42.5083827,48.58,-6.0716173,-3.68706616851915
"Xavier","East","R16",0.59532198,"2",0.81,17.8596594,24.3,-6.4403406,-3.83407631786639
"Utah","Midwest","R8",0.15469945,"3",0.521,10.8289615,36.47,-25.6410385,-3.96665455337882
"Xavier","East","R8",0.29425898,"2",0.496,20.5981286,34.72,-14.1218714,-4.15548747385517
"Iowa State","Midwest","R8",0.14743067,"4",0.578,10.3201469,40.46,-30.1398531,-4.44353873623458
"Duke","West","R16",0.54298653,"4",0.847,16.2895959,25.41,-9.1204041,-4.95225657445677
"Utah","Midwest","R16",0.4955672,"3",0.878,14.867016,26.34,-11.472984,-5.6856345565248
"Iowa State","Midwest","R16",0.40173385,"4",0.879,12.0520155,26.37,-14.3179845,-5.75201903742533
"Duke","West","R8",0.26224021,"4",0.589,18.3568147,41.23,-22.8731853,-5.99826891644091
"Duke","West","R4",0.12099552,"4",0.471,18.149328,70.65,-52.500672,-6.35234610898944
"Kansas","South","R8",0.68679352,"1",0.85,48.0755464,59.5,-11.4244536,-7.84624070202067
"Kansas","South","NCG",0.32017291,"1",0.411,99.2536021,127.41,-28.1563979,-9.01491585076089
"Kansas","South","title",0.19122757,"1",0.271,120.4733691,170.73,-50.2566309,-9.61045340339392
"Kansas","South","R4",0.45159162,"1",0.619,67.738743,92.85,-25.111257,-11.3400332288663
